# Generated by scripts/generate_legacy_iab_mapping.py.
# Re-run if 2_1.tsv or 3_0.tsv change.
# Empty v30_id with match_type=descriptive-vector-dropped means the
# legacy id was a Channel/Type/Media-Format/Language/Source/Source-Geo
# descriptor that 3.0 removed from topical content. Drop on migrate.
legacy_id	v30_id	label	match_type
1	1	Automotive	id-preserved
2	2	Auto Body Styles	id-preserved
3	3	Commercial Trucks	id-preserved
4	4	Sedan	id-preserved
5	5	Station Wagon	id-preserved
6	6	SUV	id-preserved
7	7	Van	id-preserved
8	8	Convertible	id-preserved
9	9	Coupe	id-preserved
10	10	Crossover	id-preserved
11	11	Hatchback	id-preserved
12	12	Microcar	id-preserved
13	13	Minivan	id-preserved
14	14	Off-Road Vehicles	id-preserved
15	15	Pickup Trucks	id-preserved
16	16	Auto Type	id-preserved
17	17	Budget Cars	id-preserved
18	18	Certified Pre-Owned Cars	id-preserved
19	19	Classic Cars	id-preserved
20	20	Concept Cars	id-preserved
21	21	Driverless Cars	id-preserved
22	22	Green Vehicles	id-preserved
23	23	Luxury Cars	id-preserved
24	24	Performance Cars	id-preserved
25	25	Car Culture	id-preserved
26	26	Dash Cam Videos	id-preserved
27	27	Motorcycles	id-preserved
28	28	Road-Side Assistance	id-preserved
29	29	Scooters	id-preserved
30	30	Auto Buying and Selling	id-preserved
31	31	Auto Insurance	id-preserved
32	32	Auto Parts	id-preserved
33	33	Auto Recalls	id-preserved
34	34	Auto Repair	id-preserved
35	35	Auto Safety	id-preserved
36	36	Auto Shows	id-preserved
37	37	Auto Technology	id-preserved
38	38	Auto Infotainment Technologies	id-preserved
39	39	Auto Navigation Systems	id-preserved
40	40	Auto Safety Technologies	id-preserved
41	41	Auto Rentals	id-preserved
42	42	Books and Literature	id-preserved
43	43	Art and Photography Books	id-preserved
44	44	Biographies	id-preserved
45	42	Children's Literature	ancestor
46	46	Comics and Graphic Novels	id-preserved
47	42	Cookbooks	ancestor
48	48	Fiction	id-preserved
49	49	Poetry	id-preserved
50	42	Travel Books	ancestor
51	51	Young Adult Literature	id-preserved
52	52	Business and Finance	id-preserved
53	53	Business	id-preserved
54	54	Business Accounting & Finance	id-preserved
55	55	Human Resources	id-preserved
56	56	Large Business	id-preserved
57	57	Logistics	id-preserved
58	58	Marketing and Advertising	id-preserved
59	59	Sales	id-preserved
60	60	Small and Medium-sized Business	id-preserved
61	61	Startups	id-preserved
62	62	Business Administration	id-preserved
63	63	Business Banking & Finance	id-preserved
64	64	Angel Investment	id-preserved
65	65	Bankruptcy	id-preserved
66	66	Business Loans	id-preserved
67	67	Debt Factoring & Invoice Discounting	id-preserved
68	68	Mergers and Acquisitions	id-preserved
69	69	Private Equity	id-preserved
70	70	Sale & Lease Back	id-preserved
71	71	Venture Capital	id-preserved
72	72	Business I.T.	id-preserved
73	73	Business Operations	id-preserved
74	74	Consumer Issues	id-preserved
75	75	Recalls	id-preserved
76	76	Executive Leadership & Management	id-preserved
77	77	Government Business	id-preserved
78	78	Green Solutions	id-preserved
79	79	Business Utilities	id-preserved
80	80	Economy	id-preserved
81	81	Commodities	id-preserved
82	82	Currencies	id-preserved
83	83	Financial Crisis	id-preserved
84	84	Financial Reform	id-preserved
85	85	Financial Regulation	id-preserved
86	86	Gasoline Prices	id-preserved
87	87	Housing Market	id-preserved
88	88	Interest Rates	id-preserved
89	89	Job Market	id-preserved
90	90	Industries	id-preserved
91	91	Advertising Industry	id-preserved
92	92	Education industry	id-preserved
93	93	Entertainment Industry	id-preserved
94	94	Environmental Services Industry	id-preserved
95	95	Financial Industry	id-preserved
96	96	Food Industry	id-preserved
97	97	Healthcare Industry	id-preserved
98	98	Hospitality Industry	id-preserved
99	99	Information Services Industry	id-preserved
100	100	Legal Services Industry	id-preserved
101	101	Logistics and Transportation Industry	id-preserved
102	102	Agriculture	id-preserved
103	103	Management Consulting Industry	id-preserved
104	104	Manufacturing Industry	id-preserved
105	105	Mechanical and Industrial Engineering Industry	id-preserved
106	106	Media Industry	id-preserved
107	107	Metals Industry	id-preserved
108	108	Non-Profit Organizations	id-preserved
109	109	Pharmaceutical Industry	id-preserved
110	110	Power and Energy Industry	id-preserved
111	111	Publishing Industry	id-preserved
112	112	Real Estate Industry	id-preserved
113	113	Apparel Industry	id-preserved
114	114	Retail Industry	id-preserved
115	115	Technology Industry	id-preserved
116	116	Telecommunications Industry	id-preserved
117	117	Automotive Industry	id-preserved
118	118	Aviation Industry	id-preserved
119	119	Biotech and Biomedical Industry	id-preserved
120	120	Civil Engineering Industry	id-preserved
121	121	Construction Industry	id-preserved
122	122	Defense Industry	id-preserved
123	123	Careers	id-preserved
124	124	Apprenticeships	id-preserved
125	125	Career Advice	id-preserved
126	126	Career Planning	id-preserved
127	127	Job Search	id-preserved
128	128	Job Fairs	id-preserved
129	129	Resume Writing and Advice	id-preserved
130	130	Remote Working	id-preserved
131	131	Vocational Training	id-preserved
132	132	Education	id-preserved
133	133	Adult Education	id-preserved
134	134	Private School	id-preserved
135	135	Secondary Education	id-preserved
136	136	Special Education	id-preserved
137	137	College Education	id-preserved
138	138	College Planning	id-preserved
139	139	Postgraduate Education	id-preserved
140	140	Professional School	id-preserved
141	141	Undergraduate Education	id-preserved
142	142	Early Childhood Education	id-preserved
143	143	Educational Assessment	id-preserved
144	144	Standardized Testing	id-preserved
145	145	Homeschooling	id-preserved
146	146	Homework and Study	id-preserved
147	147	Language Learning	id-preserved
148	148	Online Education	id-preserved
149	149	Primary Education	id-preserved
150	150	Events and Attractions	id-preserved
151	151	Amusement and Theme Parks	id-preserved
152	150	Fashion Events	ancestor
153	153	Historic Site and Landmark Tours	id-preserved
154	154	Malls & Shopping Centers	id-preserved
155	155	Museums & Galleries	id-preserved
156	156	Musicals	id-preserved
157	157	National & Civic Holidays	id-preserved
158	158	Nightclubs	id-preserved
159	159	Outdoor Activities	id-preserved
160	160	Parks & Nature	id-preserved
161	161	Party Supplies and Decorations	id-preserved
162	162	Awards Shows	id-preserved
163	163	Personal Celebrations & Life Events	id-preserved
164	164	Anniversary	id-preserved
165	165	Wedding	id-preserved
166	166	Baby Shower	id-preserved
167	167	Bachelor Party	id-preserved
168	168	Bachelorette Party	id-preserved
169	169	Birth	id-preserved
170	170	Birthday	id-preserved
171	171	Funeral	id-preserved
172	172	Graduation	id-preserved
173	173	Prom	id-preserved
174	150	Political Event	ancestor
175	150	Religious Events	ancestor
176	150	Sporting Events	ancestor
177	177	Theater Venues and Events	id-preserved
178	178	Zoos & Aquariums	id-preserved
179	179	Bars & Restaurants	id-preserved
180	180	Business Expos & Conferences	id-preserved
181	181	Casinos & Gambling	id-preserved
182	150	Cinemas and Events	ancestor
183	150	Comedy Events	ancestor
184	150	Concerts & Music Events	ancestor
185	185	Fan Conventions	id-preserved
186	186	Family and Relationships	id-preserved
187	187	Bereavement	id-preserved
188	188	Dating	id-preserved
189	189	Divorce	id-preserved
190	190	Eldercare	id-preserved
191	191	Marriage and Civil Unions	id-preserved
192	192	Parenting	id-preserved
193	193	Adoption and Fostering	id-preserved
194	194	Daycare and Pre-School	id-preserved
195	195	Internet Safety	id-preserved
196	196	Parenting Babies and Toddlers	id-preserved
197	197	Parenting Children Aged 4-11	id-preserved
198	198	Parenting Teens	id-preserved
199	199	Special Needs Kids	id-preserved
200	200	Single Life	id-preserved
201	201	Fine Art	id-preserved
202	202	Costume	id-preserved
203	203	Dance	id-preserved
204	204	Design	id-preserved
205	205	Digital Arts	id-preserved
206	206	Fine Art Photography	id-preserved
207	207	Modern Art	id-preserved
208	208	Opera	id-preserved
209	209	Theater	id-preserved
210	210	Food & Drink	id-preserved
211	211	Alcoholic Beverages	id-preserved
212	212	Vegan Diets	id-preserved
213	213	Vegetarian Diets	id-preserved
214	214	World Cuisines	id-preserved
215	215	Barbecues and Grilling	id-preserved
216	216	Cooking	id-preserved
217	217	Desserts and Baking	id-preserved
218	218	Dining Out	id-preserved
219	219	Food Allergies	id-preserved
220	220	Food Movements	id-preserved
221	221	Healthy Cooking and Eating	id-preserved
222	222	Non-Alcoholic Beverages	id-preserved
223	223	Healthy Living	id-preserved
224	224	Children's Health	id-preserved
225	225	Fitness and Exercise	id-preserved
226	226	Participant Sports	id-preserved
227	227	Running and Jogging	id-preserved
228	228	Men's Health	id-preserved
229	229	Nutrition	id-preserved
230	230	Senior Health	id-preserved
231	231	Weight Loss	id-preserved
232	232	Wellness	id-preserved
233	233	Alternative Medicine	id-preserved
234	234	Herbs and Supplements	id-preserved
235	235	Holistic Health	id-preserved
236	236	Physical Therapy	id-preserved
237	237	Smoking Cessation	id-preserved
238	238	Women's Health	id-preserved
239	239	Hobbies & Interests	id-preserved
240	240	Antiquing and Antiques	id-preserved
241	241	Magic and Illusion	id-preserved
242	242	Model Toys	id-preserved
243	243	Musical Instruments	id-preserved
244	244	Paranormal Phenomena	id-preserved
245	245	Radio Control	id-preserved
246	246	Sci-fi and Fantasy	id-preserved
247	247	Workshops and Classes	id-preserved
248	248	Arts and Crafts	id-preserved
249	249	Beadwork	id-preserved
250	250	Candle and Soap Making	id-preserved
251	251	Drawing and Sketching	id-preserved
252	252	Jewelry Making	id-preserved
253	253	Needlework	id-preserved
254	254	Painting	id-preserved
255	255	Photography	id-preserved
256	256	Scrapbooking	id-preserved
257	257	Woodworking	id-preserved
258	258	Beekeeping	id-preserved
259	259	Birdwatching	id-preserved
260	260	Cigars	id-preserved
261	261	Collecting	id-preserved
262	262	Comic Books	id-preserved
263	263	Stamps and Coins	id-preserved
264	264	Content Production	id-preserved
265	265	Audio Production	id-preserved
266	266	Freelance Writing	id-preserved
267	267	Screenwriting	id-preserved
268	268	Video Production	id-preserved
269	269	Games and Puzzles	id-preserved
270	270	Board Games and Puzzles	id-preserved
271	271	Card Games	id-preserved
272	272	Roleplaying Games	id-preserved
273	273	Genealogy and Ancestry	id-preserved
274	274	Home & Garden	id-preserved
275	275	Gardening	id-preserved
276	276	Remodeling & Construction	id-preserved
277	277	Smart Home	id-preserved
278	278	Home Appliances	id-preserved
279	279	Home Entertaining	id-preserved
280	280	Home Improvement	id-preserved
281	281	Home Security	id-preserved
282	282	Indoor Environmental Quality	id-preserved
283	283	Interior Decorating	id-preserved
284	284	Landscaping	id-preserved
285	285	Outdoor Decorating	id-preserved
286	286	Medical Health	id-preserved
287	287	Diseases and Conditions	id-preserved
288	288	Allergies	id-preserved
289	289	Ear, Nose and Throat Conditions	id-preserved
290	290	Endocrine and Metabolic Diseases	id-preserved
291	291	Hormonal Disorders	id-preserved
292	292	Menopause	id-preserved
293	293	Thyroid Disorders	id-preserved
294	294	Eye and Vision Conditions	id-preserved
295	295	Foot Health	id-preserved
296	296	Heart and Cardiovascular Diseases	id-preserved
297	297	Infectious Diseases	id-preserved
298	298	Injuries	id-preserved
299	299	First Aid	id-preserved
300	300	Lung and Respiratory Health	id-preserved
301	301	Mental Health	id-preserved
302	302	Reproductive Health	id-preserved
303	303	Birth Control	id-preserved
304	304	Infertility	id-preserved
305	305	Pregnancy	id-preserved
306	306	Blood Disorders	id-preserved
307	307	Sexual Health	id-preserved
308	308	Sexual Conditions	id-preserved
309	309	Skin and Dermatology	id-preserved
310	310	Sleep Disorders	id-preserved
311	311	Substance Abuse	id-preserved
312	312	Bone and Joint Conditions	id-preserved
313	313	Brain and Nervous System Disorders	id-preserved
314	314	Cancer	id-preserved
315	315	Cold and Flu	id-preserved
316	316	Dental Health	id-preserved
317	317	Diabetes	id-preserved
318	318	Digestive Disorders	id-preserved
319	319	Medical Tests	id-preserved
320	320	Pharmaceutical Drugs	id-preserved
321	321	Surgery	id-preserved
322	322	Vaccines	id-preserved
323	323	Cosmetic Medical Services	id-preserved
324	324	Movies	id-preserved
325	325	Action and Adventure Movies	id-preserved
326	326	Romance Movies	id-preserved
327	324	Science Fiction Movies	ancestor
328	324	Special Interest Movies	ancestor
329	324	Animation Movies	ancestor
330	324	Comedy Movies	ancestor
331	331	Crime and Mystery Movies	id-preserved
