code	name
GN10140824	納官
GN10178646	根占川南
GN10179009	城元
GN10179702	前田
GN10254803	免田東
GN10255720	木上西
GN10263339	土居
GN10267168	須恵
GN10267209	若杉
GN10300676	南知多町
GN10310759	百合ヶ丘
GN10311179	古賀
GN10311204	宮尾台
GN10311513	猪倉
GN10352081	大行事
GN10353044	上
GN10409864	金井島
GN10412940	境
GN10629856	富士吉田市
GN10630004	庄内町
GN10630007	対馬
GN10630441	大空町
GN10642464	中土狩
GN10642471	伏見
GN10645302	上沢
GN10797122	山中
GN10860988	読谷村
GN10862413	菅稲田堤
GN10862483	あざみ野
GN10865202	南大井
GN10865210	戸越
GN10865212	二葉
GN10865290	麻布十番
GN10865982	早稲田鶴巻町
GN10865987	下落合
GN10866000	大塚
GN10866024	雑司が谷
GN10866030	目白
GN10866099	上中里
GN10866150	大山東町
GN10866151	大山金井町
GN10866160	高野台
GN10866168	関町東
GN10866176	旭丘
GN10866536	井草
GN10866555	阿佐谷北
GN10866689	代々木
GN10866730	恵比寿
GN10866743	千駄ヶ谷
GN10866749	青葉台
GN10866784	自由が丘
GN10867078	井の頭
GN10878299	ひばりが丘
GN10913416	妙典
GN10913431	原木
GN10918003	船堀
GN10918009	一之江
GN10918027	平井
GN10918042	瑞江
GN10920829	堀切
GN10922478	押上
GN10924870	馬橋
GN10926134	南流山
GN10958441	台場
GN10963038	大島
GN10963041	住吉
GN10966283	浅草橋
GN10967869	千束
GN10967873	入谷
GN10968247	荒川
GN10971146	町屋
GN10971152	中里
GN10971153	千駄木
GN10971188	湯島
GN10979195	松伏
GN10985971	蒲生
GN10987573	舎人
GN10987664	扇
GN10987749	梅島
GN10987752	竹の塚
GN10987759	六町
GN10987894	青井
GN10987897	足立
GN10988468	小菅
GN11001656	本部町
GN11010183	十条仲原
GN11010185	神谷
GN11010212	常盤台
GN11010373	野塩
GN11012851	みよし台
GN11028127	道場
GN11029762	文蔵
GN11059676	杉田
GN11071717	江戸川区
GN11079431	元名
GN11081664	みなとみらい
GN11082924	新子安
GN11103179	神河町
GN11127679	恵庭
GN11133293	本郷
GN11133426	牛込
GN11134304	河須ヶ谷
GN11140308	長富
GN11147658	島田
GN11149616	中松
GN11151271	河原
GN11154442	田上
GN11172649	沖野
GN11193762	若洲
GN11205269	南アルプス
GN11209896	湖東
GN11240939	上島
GN11241005	佐俣
GN11241735	山田
GN11274040	荒尾
GN11335421	長小田
GN11350714	御代田
GN11397285	うきは
GN11397286	長和町
GN11468270	伊賀
GN11468427	紀北町
GN11468429	桑名
GN11468431	松阪
GN11468435	南伊勢町
