code	name
AD-07	アンドララベリャ
AE-AJ	アジュマーン
AE-DU	ドバイ
AE-FU	フジャイラ
AE-RK	ラスアルカイマ
AE-SH	シャルジャ
AF-BAL	バルフ
AF-BAM	バーミヤン
AF-BDG	バドギース
AF-BDS	バダフシャーン
AF-BGL	バグラーン
AF-DAY	ダイクンディ
AF-FRA	ファラー
AF-FYB	ファリヤーブ
AF-GHA	ガズニ
AF-GHO	ゴール
AF-HEL	ヘルマンド
AF-HER	ヘラート
AF-JOW	ジョウズジャーン
AF-KAB	カブール
AF-KAN	カンダハール
AF-KAP	カピサ
AF-KDZ	クンドゥーズ
AF-KHO	ホースト
AF-KNR	クナール
AF-LAG	ラグマーン
AF-LOG	ローガル
AF-NAN	ナンガルハール
AF-NIM	ニームローズ
AF-NUR	ヌーリスタン
AF-PAR	パルワーン
AF-PIA	パクティア
AF-PKA	パクティカ
AF-SAM	サマンガーン
AF-SAR	サリプル
AF-TAK	タハール
AF-URU	ウルズガン
AF-WAR	ワルダック
AF-ZAB	ザーボル
AG-03	セントジョージ
AG-04	セントジョン
AG-05	セントメアリー
AG-06	セントポール
AG-07	セントピーター
AG-08	セントフィリップ
AG-10	バーブーダ
AL-02	ドゥラス
AL-03	エルバサン
AL-04	フィエル
AL-06	コルチャ
AL-07	クカス
AL-10	シュコダル
AL-11	ティラナ
AL-12	ヴローラ
AM-AR	アララト
AM-AV	アルマヴィル
AM-ER	エレバン
AO-BGO	ベンゴ
AO-BGU	ベンゲラ
AO-BIE	ビエ
AO-CAB	カビンダ
AO-CCU	クアンドクバンゴ
AO-CNN	クネネ
AO-CNO	クアンザノルテ
AO-CUS	クアンザスル
AO-HUA	ワンボー
AO-HUI	ウイラ
AO-LNO	ルンダノルテ
AO-LSU	ルンダスル
AO-LUA	ルアンダ
AO-MAL	マランジェ
AO-MOX	モシコ
AO-NAM	ナミベ
AO-UIG	ウイジェ
AO-ZAI	ザイール
AR-A	サルタ
AR-B	ブエノスアイレス
AR-D	サンルイス
AR-E	エントレーリオス
AR-F	ラリオハ
AR-G	サンティアゴデルエストロ
AR-H	チャコ
AR-J	サンファン
AR-K	カタマルカ
AR-L	ラパンパ
AR-M	メンドサ
AR-N	ミシオネス
AR-P	フォルモサ
AR-Q	ネウケン
AR-R	リオネグロ
AR-S	サンタフェ
AR-T	トゥクマン
AR-U	チュブト
AR-V	ティエラデルフエゴ
AR-W	コリエンテス
AR-X	コルドバ
AR-Y	フフイ
AR-Z	サンタクルス
AT-1	ブルケンラント
AT-2	ケルンテン
AT-3	ニーダーエスターライヒ
AT-4	オーバーエスターライヒ
AT-5	ザルツブルク
AT-6	シュタイアーマルク
AT-7	ティロル
AT-8	フォーラールベルク
AT-9	ウィーン
AU-ACT	オーストラリアキャピタルテリトリー
AU-NSW	ニューサウスウェールズ
AU-NT	ノーザンテリトリー
AU-QLD	クインズランド
AU-SA	サウスオーストラリア
AU-TAS	タスマニア
AU-VIC	ビクトリア
AU-WA	ウェスタンオーストラリア
AZ-BA	バクー
AZ-QBA	クバ
AZ-SA	シェキ
AZ-SAK	シェキ
AZ-SAL	サルヤン
AZ-SM	スムカイト
BA-BIH	ボスニアヘルツェゴビナ連邦
BA-SRP	スルプスカ共和国
BB-03	セントジョージ
BB-05	セントジョン
BB-09	セントピーター
BB-10	セントフィリップ
BD-01	バンドルボン
BD-05	バゲルハット
BD-06	バリサル
BD-08	クミッラ
BD-10	チャッティースガル
BD-11	コックスバザール
BD-12	チュアダンガ
BD-13	ダッカ
BD-14	ディナジプル
BD-15	ファリドプル
BD-21	ジャマールプル
BD-27	クールナ
BD-29	カグラチョリ
BD-30	クシュティア
BD-34	ミーメンシング区
BD-40	ナラヤンガンジ区
BD-47	ノアカリ
BD-51	パトゥアカリ
BD-54	ラージシャヒ
BD-55	ラングプル
BD-60	シルヘット
BD-63	タンガイル
BD-A	バリサル
BD-B	チャッティースガル
BD-C	ダッカ
BD-D	クールナ
BD-E	ラージシャヒ
BD-F	ラングプル
BD-G	シルヘット
BD-H	ミーメンシング区
BE-VAN	アントワープ
BE-VBR	フラームスブラバント
BE-VLI	リンブルフ
BE-VOV	オーストフラーンデレン
BE-VWV	ウエストフラーンデレン
BE-WAL	ワロン
BE-WBR	ブラバントワロン
BE-WHT	エノー
BE-WLG	リエージュ
BE-WLX	ルクセンブルク
BE-WNA	ナミュール
BF-BAL	バレ
BF-BAM	バム
BF-BAN	バンワ
BF-BAZ	バゼーガ
BF-BGR	ブグリバ
BF-BLG	ブルグ
BF-BLK	ブルキエムデ
BF-COM	コモエ
BF-GAN	ガンズルグ
BF-GNA	グナグナ
BF-GOU	グルマ
BF-HOU	フエ
BF-IOB	イオバ
BF-KAD	カディオゴ
BF-KEN	ケネドゥグ
BF-KMD	コモンジャリ
BF-KMP	コンピエンガ
BF-KOP	クルペロゴ
BF-KOS	コッシ
BF-KOW	クルウェオゴ
BF-LER	レラバ
BF-LOR	ロルム
BF-MOU	ムフン
BF-NAM	ナメテンガ
BF-NAO	ナウリ
BF-NAY	ナヤラ
BF-NOU	ヌンビエル
BF-OUB	ウブリテンガ
BF-OUD	ウダラン
BF-PAS	パッソレ
BF-PON	ポニ
BF-SEN	セノ
BF-SIS	シッシリ
BF-SMT	サンマテンガ
BF-SNG	サンギエ
BF-SOM	スム
BF-SOR	スル
BF-TAP	タポア
BF-TUI	チゥイ
BF-YAG	ヤガ
BF-YAT	ヤテンガ
BF-ZIR	ジロ
BF-ZON	ゾンドマ
BF-ZOU	ズンドウェオゴ
BG-01	ブラゴエフグラード
BG-02	ブルガス
BG-03	ヴァルナ
BG-04	ヴェリコトゥルノヴォ
BG-05	ヴィディン
BG-06	ヴラツァ
BG-08	ドブリチ
BG-11	ロベチ
BG-12	モンタナ
BG-14	ペルニク
BG-15	プレヴェン
BG-16	プロヴディフ
BG-18	ルーセ
BG-20	スリヴェン
BG-23	ソフィア
BG-24	スタラザゴラ
BG-26	ハスコヴォ
BG-27	シューメン
BH-13	クウェート
BI-BB	ブバンザ
BI-BR	ブルリ
BI-CA	カンクゾ
BI-CI	チビトケ
BI-GI	ギテガ
BI-KI	キルンド
BI-KY	カヤンザ
BI-MA	マカンバ
BI-MU	ムランビア
BI-MY	イリンガ
BI-NG	ヌゴジ
BI-RY	ルイギ
BJ-AK	アタカマ
BJ-AL	アリボリ
BJ-AQ	アトランティック
BJ-BO	ボルゴー
BJ-CO	コリネ
BJ-DO	ドンガ
BJ-KO	コウフォ
BJ-LI	リトラル
BJ-MO	モノ
BJ-OU	ウェメ
BJ-PL	プラトー
BJ-ZO	ズー
BN-BE	ブライト
BN-BM	ブルネイムアラ
BN-TE	トゥンブロン
BN-TU	トゥトン
BO-C	コチャバンバ
BO-L	ラパス
BO-N	パンド
